from,to
Ancient Greek and Roman Philosophy,Aristotle (B 400-491 & Q something)
Ancient Greek and Roman Philosophy,Classical Greek Philosophy (B 168-491)
Ancient Greek and Roman Philosophy,Plato (B 350-398)
Ancient Greek and Roman Philosophy,Pre-Socratic Philosophy (B 204-341)
Ancient Greek and Roman Philosophy,Topics in Ancient Greek and Roman Philosophy (B 168-200)
Ancient Greek and Roman Philosophy,Hellenistic and Later Ancient Philosophy (B 504-708)
Medieval and Renaissance Philosophy,Medieval European Philosophy (B 765)
Medieval and Renaissance Philosophy,Medieval Islamic Philosophy (B 748-753)
Medieval and Renaissance Philosophy,Medieval Jewish Philosophy (B 755-759)
Medieval and Renaissance Philosophy,Topics in Medieval Philosophy (B 720-745)
Medieval and Renaissance Philosophy,15th/16th c. Renaissance Philosophy (B 770-785)
17th-18th Century Philosophy,17th/18th c. British Philosophy (B 1131-1402)
17th-18th Century Philosophy,17th/18th c. Philosophy (General) (B 801-802)
17th-18th Century Philosophy,17th/18th c. French Philosophy (B 1815-2179)
17th-18th Century Philosophy,17th/18th c. German Philosophy (B 2535-3177)
19th Century Philosophy,Hegel (B 2900-2949)
19th Century Philosophy,Kant (B 2750-2799)
19th Century Philosophy,Spinoza (B 3950-4000)
19th Century Philosophy,Kierkegaard (B 4369-4378)
20th Century Analytic Philosophy,David Lewis (B 945.L455 - .L4554)
20th Century Analytic Philosophy,Donald Davidson (B 945.D38 - .D384)
20th Century Analytic Philosophy,Nelson Goodman (B 945.G62 - .G624)
20th Century Analytic Philosophy,Roderick Chisholm (B 945.C46 - .C464)
20th Century Analytic Philosophy,Rudolf Carnap (B 945.C16 - .C164)
20th Century Analytic Philosophy,W. V. O Quine (B 945.Q5 - .Q54)
20th Century Analytic Philosophy,Wilfrid Sellars (B 945.S44 - .S444)
20th Century Analytic Philosophy,Bertrand Russell (B 1659.R9 - .R94)
20th Century Analytic Philosophy,Derek Parfit (B 1649.P37 - .P374)
20th Century Analytic Philosophy,G. E. M. Anscombe (B 1618.A57 - .A574)
20th Century Analytic Philosophy,G. E. Moore (B 1647.M7 - .M74)
20th Century Analytic Philosophy,Gilbert Ryle (B 1649.R96 - .R964)
20th Century Analytic Philosophy,J. L. Austin (B 1618.A8 - .A84)
20th Century Analytic Philosophy,John Rawls (B 1649.R9 - R.94)
20th Century Analytic Philosophy,Karl Popper (B 1649.P6 - .P64)
20th Century Analytic Philosophy,P. F. Strawson (B 1667.S38 - S.384)
20th Century Analytic Philosophy,Ernst Cassirer (B 3216.C3 - .C34)
20th Century Analytic Philosophy,Gottlob Frege (B 3245.F2 - .F24)
20th Century Analytic Philosophy,Ludwig Wittgenstein (B 3376.W56 - .W564)
20th Century Analytic Philosophy,Paul Feyerabend (B 3240.F48 - .F484)
20th Century Continental Philosophy,Jan Patocka (B 4805.P38 - .P384)
20th Century Continental Philosophy,Alfred Schuetz (B 945.S354 - .S3544)
20th Century Continental Philosophy,Hannah Arendt (B 945.A69 - .A694)
20th Century Continental Philosophy,Judith Butler (B 945.B88 - .B884)
20th Century Continental Philosophy,Leo Strauss (B 945.S8 - .S84)
20th Century Continental Philosophy,Alain Badiou (B 2430.B27 - .B274)
20th Century Continental Philosophy,Albert Camus (B 2430.C35 - .C354)
20th Century Continental Philosophy,Emmanuel Levinas (B 2430.L48 - .L484)
20th Century Continental Philosophy,Gilles Deleuze (B 2430.D45 - .D454)
20th Century Continental Philosophy,Henri Bergson (B 2430.B37 - .B43)
20th Century Continental Philosophy,Jacques Derrida (B 2430.D48 - .D484)
20th Century Continental Philosophy,Jacques Ranciere (B 2430.R27 - .R274)
20th Century Continental Philosophy,Jean-François Lyotard (B 2430.L96 - .L964)
20th Century Continental Philosophy,Jean-Luc Nancy (B 2430.N36 - .N364)
20th Century Continental Philosophy,Jean-Paul Sartre (B 2430.S3 - .S34)
20th Century Continental Philosophy,Julia Kristeva (B 2430.K754. - K.7544)
20th Century Continental Philosophy,Louis Althusser (B 2430.A47 - .A474)
20th Century Continental Philosophy,Luce Irigaray (B 2430.I7 - .I74)
20th Century Continental Philosophy,Maurice Merleau-Ponty (B 2430.M376 - .M3764)
20th Century Continental Philosophy,Michel Foucault (B 2430.F72 - .F724)
20th Century Continental Philosophy,Michel Henry (B 2430.H45 - .H454)
20th Century Continental Philosophy,Paul Ricoeur (B 2430.R55 - .R554)
20th Century Continental Philosophy,Simone de Beauvoir (B 2430.B34 - .B344)
20th Century Continental Philosophy,Aron Gurwitsch (B 3254.G86 - .G864)
20th Century Continental Philosophy,Edith Stein (B 3332.S67 - .S674)
20th Century Continental Philosophy,Edmund Husserl (B 3279.H9 - .H94)
20th Century Continental Philosophy,Hans-George Gadamer (B 3248.G3 - .G34)
20th Century Continental Philosophy,Jürgen Habermas (B 3258.H32 - .H324)
20th Century Continental Philosophy,Karl Jaspers (B 3279.J3 - .J34)
20th Century Continental Philosophy,Martin Heidegger (B 3279.H45 - .H49Z)
20th Century Continental Philosophy,Max Horkheimer (B 3279.H847 - .H3474)
20th Century Continental Philosophy,Max Scheler (B 3329.S48 - .S484)
20th Century Continental Philosophy,Slavoj Zizek (B 3376.W56 - .W564)
20th Century Continental Philosophy,Theodor Adorno (B 3199.A3 - .A34)
20th Century Continental Philosophy,Waltar Benjamin (B 3209.B58 - .B584)
20th Century Continental Philosophy,Giorgio Agamben (B 3611.A4 - .A44)
20th Century Continental Philosophy,Roman Ingarden (B 4691.I53 - .I534)
20th Century Continental Philosophy,Jacques Lacan (BF 109.L28)
20th Century Continental Philosophy,Claude Levi-Strauss (GN21.L4)
Aristotle (B 400-491 & Q something),B 165-491 Greece
Classical Greek Philosophy (B 168-491),B 165-491 Greece
Plato (B 350-398),B 165-491 Greece
Pre-Socratic Philosophy (B 204-341),B 165-491 Greece
Topics in Ancient Greek and Roman Philosophy (B 168-200),B 165-491 Greece
Hellenistic and Later Ancient Philosophy (B 504-708),B 505-626 Greco-Roman Philosophy
Medieval European Philosophy (B 765),B 720-765 Medieval Philosophy
Medieval Islamic Philosophy (B 748-753),B 720-765 Medieval Philosophy
Medieval Jewish Philosophy (B 755-759),B 720-765 Medieval Philosophy
Topics in Medieval Philosophy (B 720-745),B 720-765 Medieval Philosophy
15th/16th c. Renaissance Philosophy (B 770-785),B 770-785 Renaissance Philosophy
17th/18th c. British Philosophy (B 1131-1402),B 790-4695 Modern Philosophy
17th/18th c. Philosophy (General) (B 801-802),B 791-804 General Works
17th/18th c. French Philosophy (B 1815-2179),B 1801-2430 France
17th/18th c. German Philosophy (B 2535-3177),B 2521-3396 Germany & Austria
Hegel (B 2900-2949),B 2521-3396 Germany & Austria
Kant (B 2750-2799),B 2521-3396 Germany & Austria
Spinoza (B 3950-4000),B 3801-4175 The Netherlands & Belgium
Kierkegaard (B 4369-4378),B 4301-4495 Scandinavia
David Lewis (B 945.L455 - .L4554),B 851-945 United States
Donald Davidson (B 945.D38 - .D384),B 851-945 United States
Nelson Goodman (B 945.G62 - .G624),B 851-945 United States
Roderick Chisholm (B 945.C46 - .C464),B 851-945 United States
Rudolf Carnap (B 945.C16 - .C164),B 851-945 United States
W. V. O Quine (B 945.Q5 - .Q54),B 851-945 United States
Wilfrid Sellars (B 945.S44 - .S444),B 851-945 United States
Bertrand Russell (B 1659.R9 - .R94),B 1111-? England
Derek Parfit (B 1649.P37 - .P374),B 1111-? England
G. E. M. Anscombe (B 1618.A57 - .A574),B 1111-? England
G. E. Moore (B 1647.M7 - .M74),B 1111-? England
Gilbert Ryle (B 1649.R96 - .R964),B 1111-? England
J. L. Austin (B 1618.A8 - .A84),B 1111-? England
John Rawls (B 1649.R9 - R.94),B 1111-? England
Karl Popper (B 1649.P6 - .P64),B 1111-? England
P. F. Strawson (B 1667.S38 - S.384),B 1111-? England
Ernst Cassirer (B 3216.C3 - .C34),B 2521-3396 Germany & Austria
Gottlob Frege (B 3245.F2 - .F24),B 2521-3396 Germany & Austria
Ludwig Wittgenstein (B 3376.W56 - .W564),B 2521-3396 Germany & Austria
Paul Feyerabend (B 3240.F48 - .F484),B 2521-3396 Germany & Austria
Jan Patocka (B 4805.P38 - .P384),B 790-4695 Modern Philosophy
Alfred Schuetz (B 945.S354 - .S3544),B 851-945 United States
Hannah Arendt (B 945.A69 - .A694),B 851-945 United States
Judith Butler (B 945.B88 - .B884),B 851-945 United States
Leo Strauss (B 945.S8 - .S84),B 851-945 United States
Alain Badiou (B 2430.B27 - .B274),B 1801-2430 France
Albert Camus (B 2430.C35 - .C354),B 1801-2430 France
Emmanuel Levinas (B 2430.L48 - .L484),B 1801-2430 France
Gilles Deleuze (B 2430.D45 - .D454),B 1801-2430 France
Henri Bergson (B 2430.B37 - .B43),B 1801-2430 France
Jacques Derrida (B 2430.D48 - .D484),B 1801-2430 France
Jacques Ranciere (B 2430.R27 - .R274),B 1801-2430 France
Jean-François Lyotard (B 2430.L96 - .L964),B 1801-2430 France
Jean-Luc Nancy (B 2430.N36 - .N364),B 1801-2430 France
Jean-Paul Sartre (B 2430.S3 - .S34),B 1801-2430 France
Julia Kristeva (B 2430.K754. - K.7544),B 1801-2430 France
Louis Althusser (B 2430.A47 - .A474),B 1801-2430 France
Luce Irigaray (B 2430.I7 - .I74),B 1801-2430 France
Maurice Merleau-Ponty (B 2430.M376 - .M3764),B 1801-2430 France
Michel Foucault (B 2430.F72 - .F724),B 1801-2430 France
Michel Henry (B 2430.H45 - .H454),B 1801-2430 France
Paul Ricoeur (B 2430.R55 - .R554),B 1801-2430 France
Simone de Beauvoir (B 2430.B34 - .B344),B 1801-2430 France
Aron Gurwitsch (B 3254.G86 - .G864),B 2521-3396 Germany & Austria
Edith Stein (B 3332.S67 - .S674),B 2521-3396 Germany & Austria
Edmund Husserl (B 3279.H9 - .H94),B 2521-3396 Germany & Austria
Hans-George Gadamer (B 3248.G3 - .G34),B 2521-3396 Germany & Austria
Jürgen Habermas (B 3258.H32 - .H324),B 2521-3396 Germany & Austria
Karl Jaspers (B 3279.J3 - .J34),B 2521-3396 Germany & Austria
Martin Heidegger (B 3279.H45 - .H49Z),B 2521-3396 Germany & Austria
Max Horkheimer (B 3279.H847 - .H3474),B 2521-3396 Germany & Austria
Max Scheler (B 3329.S48 - .S484),B 2521-3396 Germany & Austria
Slavoj Zizek (B 3376.W56 - .W564),B 2521-3396 Germany & Austria
Theodor Adorno (B 3199.A3 - .A34),B 2521-3396 Germany & Austria
Waltar Benjamin (B 3209.B58 - .B584),B 2521-3396 Germany & Austria
Giorgio Agamben (B 3611.A4 - .A44),B 3551-3656 Italy
Roman Ingarden (B 4691.I53 - .I534),B 4681-4695 Other European Countries
Jacques Lacan (BF 109.L28),BF Psychology
Claude Levi-Strauss (GN21.L4),GN Anthropology
History of Western Philosophy,Ancient Greek and Roman Philosophy
History of Western Philosophy,Medieval and Renaissance Philosophy
History of Western Philosophy,17th-18th Century Philosophy
History of Western Philosophy,19th Century Philosophy
History of Western Philosophy,20th Century Analytic Philosophy
History of Western Philosophy,20th Century Continental Philosophy
